LISTA - RAMOS Informática - www.professorramos.com,,8/30/2022
Código,Descrição,Preço
11001,-, $ -   
11002,VENT WATER COOLING SYSTEM," $ 210,00 "
11003,CABO IMPRESSORAS USB," $ 1,00 "
11004,HD IDE 80 GB MAXTOR 7200 *3MESES," $ 35,00 "
11005,HD IDE 120 GB MAXTOR 7200 *3MESES," $ 39,00 "
11006,HD IDE 120 GB SEAGATE 7200 *3MESES," $ 40,00 "
11007,MOUSE DR.HANK MO-D35P-D80D PS2 BRANCO AZ MO-D35P-D40D," $ 3,00 "
11008,HUB 8 ENCORE 10/100 MBITS BLACK," $ 12,00 "
11009,PL REDE KAIOMY PCI 10/100/1000 REALTEK.," $ 6,00 "
11010,DVR-STAND ALONE 4CH FXR-1004," $ 194,00 "
11011,"LCD TV FUJILINK 24"""," $ 238,00 "
11012,HD SATA 250 GB SEAGATE 8MB 7200," $ 41,00 "
11013,HD IDE 250 GB SEAGATE 7200 *3MESES," $ 50,00 "
11014,HUB 8 KAIOMY 10/100," $ 11,00 "
11015,PL REDE KAIOMY PCI 10/100 KAIOMY.," $ 4,00 "
11016,HD IDE 250 GB MAXTOR 7200 *3MESES," $ 49,00 "
11017,MOUSE DR.HANK MO-A33P-P80A OPTICAL PS2," $ 2,00 "
11018,PL PCI SUPER IDE 2 SERIAIS/1PARALELA.," $ 10,00 "
11019,NB COMPAQ CQ60-615DX CEL-2.2/2G/250/15.," $ 462,00 "
11020,VGA ZOGIS PCI-E GTX480 1536MB DDR5 HDMI.," $ 583,00 "
11021,FAX MODEM 56K [KAIOMY] LUCENT," $ 4,00 "
11022,NB ASUS UL-50A C2D-1.3/4G/320/15/US/WIN7," $ 693,00 "
11023,HD IDE 250 GB W.DIGITAL 7200 *3MESES," $ 50,00 "
11024,HD IDE 400 GB SEAGATE 7200 *3MESES," $ 62,00 "
11025,CASE DR.HANK P4 4B (KIT 3167) C/MIC," $ 41,00 "
11026,FONTE DR.HANK P4 500W REAL," $ 49,00 "
11027,PL CAPT.ENCORE TV PRO/FM C/CONTROLE TUNER.," $ 19,00 "
11028,NB HP G60-T4300 PM2.1/2G/320/15.6 NEW," $ 593,00 "
11029,PL CAPT.TV ZOGIS P/NOTEBOOK USB 2.0," $ 27,00 "
11030,HD SATA 320 GB SEAGATE 16MB 7200," $ 47,00 "
11031,VGA ZOGIS AGP 256MB FX5500 ZO55-DAGP.," $ 40,00 "
11032,CAM. INOVIA WEB RCW-100 WHITE," $ 10,00 "
11033,MOUSE SATELLITE MINI A-9P USB PRE," $ 6,00 "
11034,PL PCI KAIOMY USB 2.0 5P," $ 4,00 "
11035,REDE ADSL MODEM ROUTER D-LINK 500B.," $ 28,00 "
11036,RAM P/NB DDR2 1GB 667 KINGSTON.," $ 21,00 "
11037,RAM P/NB DDR2 512MB 667 MARKVISION.," $ 5,00 "
11038,RAM DDR2 1GB PC6400 800 KINGSTON," $ 26,00 "
11039,REDE ROUTER D-LINK WBR-1310 WIRELESS," $ 16,00 "
11040,REDE ROUTER D-LINK WBR-2310 WIRELESS," $ 35,00 "
11041,CASE DR.HANK P4 4B (KIT 5758) JAGUATIRICA," $ 60,00 "
11042,HDD IDE NB 160 GB SAMSUNG 5400," $ 55,00 "
11043,FONTE P4 SATELLITE 400W REAL (545K8)," $ 37,00 "
11044,VGA PWC PCI-E 512MB X1650 PRO OEM," $ 26,00 "
11045,VGA ZOGIS PCI-E 256MB 8400GS.," $ 35,00 "
11046,RAM DDR2 2GB 667 KINGSTON.," $ 47,00 "
11047,GVTA P/HD NB I-MICRO SATA NEGRO," $ 7,00 "
11048,GVTA P/HD NB I-MICRO SATA SILVER," $ 7,00 "
11049,HDD SATA NB 250 GB SAMSUNG 5400," $ 43,00 "
11050,HD SATA 500 GB SEAGATE 16MB 7200," $ 49,00 "
11051,HD IDE 160 GB SAMSUNG," $ 41,00 "
11052,REDE WL PCI ENCORE ENLWI-G2 54MBPS," $ 10,00 "
11053,RAM DDR2 2GB 667 MARKVISION.," $ 44,00 "
11054,HD IDE 250 GB SAMSUNG 5400," $ 48,00 "
11055,FONTE P4 SATELLITE 12V SL-X1000 1000W," $ 134,00 "
11056,REDE WL USB ENCORE ENUWI-G2.," $ 10,00 "
11057,HD SATA 750 GB SAMSUNG 32MB 7200," $ 71,00 "
11058,HD SATA 1 TB SAMSUNG 32MB 7200," $ 74,00 "
11059,PLACA FIREWIRE IEEE 1394 3+1 PORT PCI.," $ 7,00 "
11060,HD SATA 1 TB SEAGATE 32MB 7200," $ 75,00 "
11061,REDE ADSL MODEM ROUTER WIRE 2640B D-LINK DSL-2640B," $ 45,00 "
11062,HDD SATA NB 320 GB SAMSUNG 5400," $ 48,00 "
11063,RAM DDR2 2GB 800 KINGSTON.," $ 47,00 "
11064,FILTRO DE LINHA PLASTICO PRETO OMEGA," $ 4,00 "
11065,HDD SATA NB 500 GB SAMSUNG 5400," $ 65,00 "
11066,RAM DDR2 2GB 800 MARKVISION/INFINEON," $ 46,00 "
11067,VGA ZOGIS PCI-E 512MB 9500GT DDR2 HDMI.," $ 58,00 "
11068,VGA ZOGIS PCI-E 512MB 9800GT DDR3 HDMI.," $ 121,00 "
11069,CASE DR.HANK P4 4B (KIT 2C67)," $ 41,00 "
11070,RAM P/NB DDR2 512MB 667 ELPIDA/NANYA," $ 5,00 "
11071,VGA ZOGIS PCI-E 1GB 9500GT HDMI DDR2," $ 70,00 "
11072,FONTE P4 BEST BP-504/505 24 PINOS," $ 10,00 "
11073,VGA XFX PCI-E NV GF9500GT 512MB DDR2 550.," $ 51,00 "
11074,MB ASUS M2N68-AM," $ 37,00 "
11075,HD IDE 160 GB SEAGATE 7200," $ 42,00 "
11076,HD SATA 500 GB SEAGATE 16MB 7200," $ 45,00 "
11077,VGA ZOGIS PCI-E 1GB 9400GT HDMI," $ 65,00 "
11078,HD SATA 1.5 TB SEAGATE 32MB 7200," $ 102,00 "
11079,HD SATA 500 GB SEAGATE 32MB 7200," $ 45,00 "
11080,RAM MICRO 2GB KINGSTON ," $ 5,00 "
11081,MOUSE LG 3D-520 BRANCO PS/2," $ 5,00 "
11082,MOUSE LG XM-110 PRETO," $ 7,00 "
11083,MOUSE LG XM-120 VERMELHO," $ 7,00 "
11084,MOUSE LG XM-250 PRETO," $ 5,00 "
11085,MOUSE LG XM-900 BRANCO/TOUCH SCROLL.," $ 19,00 "
11086,CABO IMPRESSORAS USB 2.0 COBRE FULL 1.8M," $ 1,00 "
11087,PEN DRIVE 2GB KINGSTON AZUL.," $ 8,00 "
11088,VGA ZOGIS PCI-E 1GB 9800GT HDMI/DDR3," $ 138,00 "
11089,HD IDE 400 GB SEAGATE 7200 3400832," $ 55,00 "
11090,PEN DRIVE 4GB KINGSTON AZUL," $ 10,00 "
11091,PEN DRIVE 8GB KINGSTON DT101 AZUL," $ 18,00 "
11092,CAM. INOVIA WEB RCW-501 USB BLACK PLUS," $ 14,00 "
11093,MB ASUS M2N68-AM SE," $ 45,00 "
11094,CD DVD-RW LG GH22NS40 22X SATA," $ 19,00 "
11095,HD EXT 320GB USB LG PRETO," $ 66,00 "
11096,CPU INTEL E7500 C2 DUO 2.93/3M/1066 *," $ 129,00 "
11097,CAM. INOVIA WEB RCW-501 USB SILVER PLUS," $ 14,00 "
11098,MB ASUS P5KPL-AM SE," $ 52,00 "
11099,MB ASROCK N68-S (AMD)," $ 43,00 "
11100,MB ASUS M2N68-VM HDMI," $ 45,00 "
11101,NB ASUS *BATERIA EEEPC900 PRETO," $ 42,00 "
11102,CAM. DR.HANK VC-P060 2.0M C/MIC USB1.1," $ 14,00 "
11103,CAM. DR.HANK VC-P073 2.0M C/MIC USB1.1," $ 12,00 "
11104,MB ASUS P6T (LGA1366)," $ 258,00 "
11105,MB ASUS M4A78T-E," $ 122,00 "
11106,MB ASUS M4A79T DELUXE," $ 180,00 "
11107,VGA PWC PCI-E 512MB AX4350 DDR2," $ 42,00 "
11108,MB ASUS M2N68-AM SE2," $ 51,00 "
11109,VGA XFX PCI-E NV GF9500GT 512MB DDR3 550..," $ 54,00 "
11110,NB ASUS *BATERIA EEEPC-1000 BRANCO," $ 94,00 "
11111,ACESSORIOS - CABO IDE," $ 1,00 "
11112,ACESSORIOS - CABO SATA," $ 1,00 "
11113,MB ASUS M2N68-AM PLUS," $ 47,00 "
11114,"LCD LG 22"" W2243S WIDE"," $ 162,00 "
11115,NB ASUS 1008HA N280/1G/160/10/XP PRETO," $ 320,00 "
11116,HD SATA 1 TB SEAGATE 32MB 7200," $ 68,00 "
11117,CD DVD-RW LG GE20LU10 20X EXT BOX," $ 44,00 "
11118,VGA XFX PCI-E NV GF9600GT 512MB DDR3 600 PV-T96Q-YG.," $ 100,00 "
11119,VGA ZOTAC PCI-E 1GB GF9500GT DDR2.," $ 74,00 "
11120,HD SATA 1.5 TB SEAGATE 32MB 7200," $ 92,00 "
11121,CD DVD-RW LG GH22NS50 22X SATA," $ 19,00 "
11122,VGA ZOGIS PCI-E 512MB 9400GT D2 64B/HDMI.," $ 50,00 "
11123,REDE ROUTER LINKSYS WRT54G2 4P," $ 50,00 "
11124,NB MALETA P/NB SATELLITE A-KP40 15.4," $ 15,00 "
11125,MB ASUS M4 CROSSHAIR III FORMULA," $ 217,00 "
11126,HD SATA 2 TB SEAGATE 32MB 5900," $ 132,00 "
11127,NB ASUS *FONTE EEEPC-1005/1008/1101 BRA," $ 26,00 "
11128,VGA ZOGIS PCI-E 1GB GTS250 DDR3 2DVI.," $ 153,00 "
11129,PROJETOR SONY VPL-ES7 (2000 LUMENS).," $ 567,00 "
11130,CD DVD-RW ASUS SDRW 8X SLIM EXT PRETO," $ 51,00 "
11131,VGA ZOGIS PCI-E 512MB 8400GS HDMI.," $ 38,00 "
11132,MB ASUS P5QPL-AM," $ 57,00 "
11133,CPU AMD AM3 SEMPRON 140 2.7GHZ/1MB," $ 40,00 "
11134,CPU AMD AM3 PHENOM 550 X2 3.1G 1066," $ 103,00 "
11135,"GVTA P/HD NB 2.5"" DATASTOR SATA BRANCA"," $ 10,00 "
11136,HD IDE 400 GB SEAGATE 7200 *R *3MESES," $ 45,00 "
11137,MOUSE LG CM-320 VERMELHO/WIRELESS," $ 21,00 "
11138,MOUSE LG XM-520 VERMELHO," $ 6,00 "
11139,"LCD LG 20"" W2043S-PF WIDE"," $ 148,00 "
11140,MB ECS A790GXM-AD3," $ 105,00 "
11141,IMP HP F4480 MULTIFUNCIONAL," $ 80,00 "
11142,MB ASUS P7P55D DELUXE (LGA1156)," $ 164,00 "
11143,MB ASUS P7P55D LE (LGA1156)," $ 132,00 "
11144,PL PCI SUPER IDE 2 SERIAIS/1PARAL KAIOMY.," $ 11,00 "
11145,MOUSE PIXXO MO-C133 PRETO USB," $ 7,00 "
11146,MOUSE PIXXO MO-E033 PRETO USB," $ 7,00 "
11147,MOUSE PIXXO MO-E133 PRETO USB," $ 8,00 "
11148,MOUSE PIXXO MO-R135 PRETO USB," $ 8,00 "
11149,TECLADO + MOUSE PIXXO KA-75W1," $ 27,00 "
11150,RAM DDR3 2GB PC10600 1333 KINGSTON," $ 55,00 "
11151,MB ASUS MAXIMUS III FORMULA (LGA1156)," $ 228,00 "
11152,MB ASUS MAXIMUS III GENE (LGA1156)," $ 181,00 "
11153,MB ASUS ITX-220," $ 71,00 "
11154,MB ASUS P5G41-M LX," $ 52,00 "
11155,MB ASUS M4A785TD-V EVO," $ 101,00 "
11156,CASE PIXXO CX-9A91 MINI," $ 46,00 "
11157,NB MALETA P/NB SATELLITE A-KP10 10.4," $ 7,00 "
11158,HD EXT 320GB USB SAMSUNG BLANCO," $ 68,00 "
11159,HD EXT 320GB USB SAMSUNG MARRON," $ 68,00 "
11160,HD EXT 320GB USB SAMSUNG NEGRO," $ 67,00 "
11161,HD EXT 320GB USB SAMSUNG ROSA," $ 65,00 "
11162,CEL FUJI FU91T 4BAND/TV/2CAM/PRETO," $ 51,00 "
11163,CEL FUJI FU91T 4BAND/TV/2CAM/PRATA," $ 51,00 "
11164,NB E-MACHINES E725-4122 PDC2.1/2G/250/15.," $ 520,00 "
11165,VGA PWC PCI-E 1GB 5870 DDR5 (PPDHG) PCS+," $ 452,00 "
11166,REDE ROUTER TP-LINK TL-WR340GD WL.," $ 23,00 "
11167,MB ASUS P7P55D PRO (LGA1156)," $ 149,00 "
11168,MB ASUS M4A785-M," $ 75,00 "
11169,VGA XFX PCI-E ATI HD5850 1GB 725M DDR5.," $ 341,00 "
11170,PROJETOR EPSON S8 (2500LUMENS) PRETO.," $ 593,00 "
11171,REDE ROUTER D-LINK DIR-600 4P WL EXTERNO," $ 29,00 "
11172,MB ASUS M4A785TD-M EVO," $ 94,00 "
11173,VGA XFX PCI-E ATI HD4350 512M 600M DDR2," $ 42,00 "
11174,HD IDE 320 GB MAXTOR 5400 *3MESES," $ 48,00 "
11175,REDE WL PCI TP-LINK TL-WN651G 108MBPS.," $ 16,00 "
11176,VGA ZOGIS PCI-E 512MB G210 DDR2 64B/HDMI.," $ 48,00 "
11177,HD EXT 500GB USB SAMSUNG NEGRO," $ 87,00 "
11178,HD EXT XILIO 60GB PRETO," $ 49,00 "
11179,HD EXT XILIO 60GB BRANCO," $ 49,00 "
11180,VGA ZOGIS PCI-E 1GB GT220 HDMI DDR2," $ 74,00 "
11181,CPU AMD AM3 PHENOM 965 X4 3.4GHZ 8M," $ 201,00 "
11182,CEL FUJI FUV-13 4BAND/TV/2CAM PRETO," $ 52,00 "
11183,CEL FUJI FUV-13 4BAND/TV/2CAM BRANCO," $ 51,00 "
11184,CEL FUJI FUV-13 4BAND/TV/2CAM ROSA," $ 51,00 "
11185,NB ASUS *BATERIA EEEPC-1005 BRANCO," $ 94,00 "
11186,MB ASROCK G41M-VS/VS2 (INTEL)," $ 45,00 "
11187,MB ASROCK G31M-VS (INTEL)," $ 43,00 "
11188,HD SATA 500 GB SEAGATE 16MB 7200," $ 42,00 "
11189,MB ASUS SABERTOOTH 55I (LGA1156)," $ 165,00 "
11190,VGA PWC PCI-E 1GB AX4350.," $ 57,00 "
11191,VGA XFX PCI-E NV GT240 1GB 550M DDR3.," $ 106,00 "
11192,VGA PWC PCI-E 1GB AX5750 DDR5 HDTV DVI," $ 166,00 "
11193,CASE DR.HANK P4 4B (KIT 9487)," $ 48,00 "
11194,VGA XFX PCI-E ATI HD5870 1GB 875M HDMI.," $ 478,00 "
11195,NB MALETA P/NB SATELLITE A-KP30 10.4," $ 8,00 "
11196,CEL FUJI FU91T 4BAND/TV/2CAM/BRANCO," $ 50,00 "
11197,VGA XFX PCI-E NV GFG210 512MB TC1GB.," $ 48,00 "
11198,NB ACER 5542-1325 ATHIIX2-2.0/3G/320/15," $ 556,00 "
11199,NB ACER 1410-8373 C2S-1.4/2G/250/11/W7," $ 472,00 "
11200,CAM. SONY DSC-W290 PRATA 12.1 MTBC," $ 194,00 "
11201,CAM. SONY DSC-W290 PRETA 12.1 MTBC," $ 194,00 "
11202,"LCD LG 23"" M237A MFT WIDE C/TV"," $ 268,00 "
11203,REDE ROUTER TP-LINK TL-WR741ND 150MBPS," $ 24,00 "
11204,HD SATA 1 TB WD 10EADS 32MB 7200," $ 74,00 "
11205,VGA ZOGIS PCI-E 1GB GT240 HDMI DDR3," $ 104,00 "
11206,VGA ZOGIS PCI-E 512MB GT 240 HDMI DVI.," $ 91,00 "
11207,"LCD LG 19"" W1943-SB/PF FLATRON (18.5""D)"," $ 128,00 "
11208,NB SONY CW21FX/W I3-2.13/4G/500/14/RW.," $ 924,00 "
11209,HD EXT 500GB USB SAMSUNG AZUL," $ 87,00 "
11210,MB ASUS P6TD DELUXE (LGA1366)," $ 307,00 "
11211,CPU INTEL I5-650 3.20/4M *LGA1156," $ 210,00 "
11212,CASE PIXXO KIT KT-Y658," $ 59,00 "
11213,MOUSE PIXXO MO-C233," $ 7,00 "
11214,REDE ROUTER TP-LINK TL-WR941ND WL 300MBP.," $ 41,00 "
11215,"LCD TV FUJILINK 22"" SLIM HDMI"," $ 210,00 "
11216,RAM DDR3 CORSAIR 2GB 1333MHZ XMS3," $ 76,00 "
11217,RAM DDR3 CORSAIR 2GB 1600MHZ XMS3.," $ 76,00 "
11218,CPU CELERON E3300 DUAL CORE 2.5/1MB/800," $ 51,00 "
11219,NB SONY CW21FX/B I3-2.13/4G/500/14/RW.," $ 929,00 "
11220,VGA PWC PCI-E 512MB AX4650 DDR2 HDMI," $ 56,00 "
11221,NB ASUS 1005PE N450/2G/250/10/W7/6CEL PR," $ 378,00 "
11222,VGA PWC PCI-E 512MB AX5450.," $ 51,00 "
11223,CEL FUJI FUV-11 4BAND/TV/2CAM PRETO," $ 51,00 "
11224,CEL FUJI FUV-11 4BAND/TV/2CAM PRATA," $ 51,00 "
11225,CEL FUJI FU300 4BAND/TV/1CAM PRETO," $ 42,00 "
11226,CEL FUJI MINI I-PHONE FUN5 WIFI PRETO," $ 76,00 "
11227,PC ASROCK NETTOP ION330PRO 1.6/2G/320/DV.," $ 352,00 "
11228,CASE DR.HANK P4 4B (KIT 9487) ESPANHOL," $ 48,00 "
11229,PEN DRIVE 8GB KINGSTON DT102 AZUL.," $ 18,00 "
11230,PC ASROCK NETTOP ION330HT 1.6/2G/320/DVD," $ 373,00 "
11231,HD EXT 500GB USB SAMSUNG RED," $ 87,00 "
11232,HD EXT 640GB USB SAMSUNG PRETO," $ 99,00 "
11233,VGA PWC PCI-E 1GB AX5670 DDR5," $ 136,00 "
11234,HD IDE 160 GB SEAGATE 7200," $ 44,00 "
11235,HD EXT 640GB USB SAMSUNG AZUL," $ 99,00 "
11236,HD EXT 640GB USB SAMSUNG ROSA," $ 99,00 "
11237,PROJETOR LG SVGA 2500LM 2000 (BS254) PRE," $ 499,00 "
11238,CD DVD-RW SAMSUNG TS-H662A 22X IDE PRETO," $ 23,00 "
11239,HD EXT 640GB USB SAMSUNG WHITE," $ 99,00 "
11240,LCD HP LP2475W," $ 845,00 "
11241,VGA ZOGIS PCI-E 1GB 9800GT HDMI/DDR2.," $ 122,00 "
11242,MB ASUS P7H57D-V EVO (LGA1156/USB3)," $ 195,00 "
11243,MB ASUS P7H55D-M EVO (LGA1156/USB3)," $ 126,00 "
11244,VGA PWC PCI-E 1GB 5870 DDR5 (WMDH) LCS," $ 614,00 "
11245,NB ASUS 1001HA N270/1G/160/10/W7/3CEL BR," $ 294,00 "
11246,VGA ZOGIS PCI-E 1GB 9400GT DVI.," $ 45,00 "
11247,VGA ZOGIS PCI-E 512MB 9500GT DVI.," $ 37,00 "
11248,MB ASUS M4N68T-M LE," $ 51,00 "
11249,"LCD LG 23"" W2353V DVI/HDMI WIDE"," $ 231,00 "
11250,MB ASUS P7P55-M (LGA1156)," $ 116,00 "
11251,MB ASUS M4A79XTD EVO," $ 122,00 "
11252,NB ACER 532H-2035 N450/2G/250/10/LI/3CEL AZUL," $ 362,00 "
11253,NB ACER 532H-2350 N450/2G/250/10/LI/3CEL," $ 368,00 "
11254,VGA MSI PCI-E 512MB 8400," $ 37,00 "
11255,NB SONY CW21FX/P I3-2.13/4G/500/14/RW," $ 924,00 "
11256,VGA PWC PCI-E 1GB AX4650 DDR3," $ 70,00 "
11257,VGA MSI PCI-E 256MB 8400GS.," $ 32,00 "
11258,NB ACER 5542-5786 TIIX2-2.2/4G/500/15/RA," $ 756,00 "
11259,NB ASUS 1005PE N450/2G/250/10/W7/6CEL BR," $ 378,00 "
11260,HD EXT 640GB USB SAMSUNG VERMELHO," $ 99,00 "
11261,HD EXT 640GB USB SAMSUNG MARRON," $ 99,00 "
11262,MB ASROCK H55M-LE (LGA1156)," $ 74,00 "
11263,NB ASUS G51JX I7-QUAD-1.6/6G/500/15/W," $ 1.659,00 "
11264,NB ASUS K42F I3-2.26/4G/320/14/W7/US/RW," $ 845,00 "
11265,MB ASUS M4A77TD," $ 84,00 "
11266,NB ACER 5740-6025 I5-2.26/4G/500/15/W7," $ 777,00 "
11267,VGA XFX PCI-E NV GTS250 1GB 680M DDR3.," $ 159,00 "
11268,NB ACER 1410-2541 CEL1.3/2G/250/11.6/," $ 446,00 "
11269,ACESSORIOS - ANTENA TP-LINK TL-ANT2414A," $ 51,00 "
11270,NB ACER 5635-6897 C2D-2.1/3G/250/15/W7," $ 604,00 "
11271,CPU INTEL I7-930 2.86/8M/4.8GT LGA1366," $ 335,00 "
11272,CASE SATELLITE K636 BAREBONE (KIT) ESP," $ 35,00 "
11273,NB ASUS 1002HA N280/1G/160/10/XP/6C/CINZ," $ 315,00 "
11274,CD DVD-RW LG BLU-RAY BH10LS30 BOX," $ 165,00 "
11275,FONTE DR.HANK P4 700W REAL," $ 91,00 "
11276,MOUSE PIXXO MA-C133+5G OPTICO INALAMBRIC," $ 14,00 "
11277,PC ASUS E-BOX 1501 330/2G/250/DVDRW/W7.," $ 514,00 "
11278,MB ASUS RAMPAGE III EXTREME," $ 441,00 "
11279,MB ASUS M4 CROSSHAIR IV FORMULA," $ 245,00 "
11280,VGA PWC PCI-E 1GB AX5450 DDR3," $ 79,00 "
11281,CPU AMD PHENOM II X6 1055T," $ 234,00 "
11282,MB ASUS P5P41C," $ 81,00 "
11283,MB ASUS P7P55D-E PRO (LGA1156/USB3)," $ 177,00 "
11284,MB ASUS P7P55D-E (LGA1156/USB3)," $ 160,00 "
11285,MB ASUS M4A87TD/USB3," $ 110,00 "
11286,MB ASUS M4A89GTD PRO/USB3," $ 178,00 "
11287,CASE DR.HANK P4 4B (KIT 3167) ESPANHOL," $ 41,00 "
11288,NB HP DV4-2140US TX2-2.3/4G/320/14/RW/W7," $ 667,00 "
11289,MB ASUS M4A88TD-M," $ 101,00 "
11290,DVR KIT LTD431H 4CH H.264 C/320G," $ 441,00 "
11291,"LCD TV FUJILINK 32"" HDMI"," $ 407,00 "
11292,MB ASUS P5P43TD," $ 85,00 "
11293,NB ACER 5542-1325 ATHIIX2-2.0/4G/320/15/," $ 588,00 "
11294,NB ASUS 1201N 330/2G/320/12/W7 HDMI PRE," $ 494,00 "
11295,MB ASUS P6X58D-E (LGA1366/USB3)," $ 269,00 "
11296,"LCD LG 19"" E1940S LED"," $ 146,00 "
11297,MB ASUS P5G41T-M LX," $ 58,00 "
11298,MB ASUS P7P55D-E DELUXE (LGA1156/USB3)," $ 211,00 "
11299,REDE ROUTER D-LINK DIR-601 4P," $ 29,00 "
11300,CD DVD-RW LG BLU-RAY BH10LS30 OEM," $ 161,00 "
11301,MOUSE DR.HANK MO-351B OPTICAL USB," $ 5,00 "
11302,NB ASUS 1008P N450/2G/320/10/W7 ROSA.," $ 499,00 "
11303,FONTE PIXXO PW-500 REAL PRETO," $ 45,00 "
11304,NB ASUS 1001PX N450/1G/160/10/W7 6CEL PR," $ 326,00 "
11305,NB ASUS 1001PX N450/1G/160/10/W7 6CEL BR," $ 326,00 "
11306,NB ASUS 1201HA Z520/2G/320/12/6CEL PRETO," $ 436,00 "
11307,NB ASUS 1201HA Z520/2G/320/12/6CEL PRATA," $ 436,00 "
11308,NB ASUS 1008P N450/2G/320/10/W7 MARRON," $ 499,00 "
11309,NB ASUS 1201HA Z520/2G/320/12/6CEL RED," $ 441,00 "
11310,"LCD LG 17"" W1742S"," $ 125,00 "
11311,CABO HDMI X HDMI 1.8M," $ 8,00 "
11312,NB ACER 4732-4584 DC-2.2/3G/320/14/LI/RW," $ 583,00 "
11313,NB E-MACHINES E627-5555 ATH1.6/2G/160/15.," $ 472,00 "
11314,NB ACER 5517-5428 ATH-2.0/2G/250/15/RW," $ 494,00 "
11315,NB E-MACHINES E627-5201 ATH2.0/2G/320/15," $ 499,00 "
11316,MOUSE DR.HANK MO-108R-PX1P OPTICAL USB," $ 6,00 "
11317,VGA ZOGIS PCI-E GTX465 1024MB DDR5.," $ 332,00 "
11318,RECEPTOR SAT. AZ AMERICA S806.," $ 68,00 "
11319,NB ASUS 1201N 330/2G/320/12/W7 HDMI SIL," $ 494,00 "
11320,NB ASUS 1201N 330/2G/320/12/W7/HDMI RED," $ 494,00 "
11321,HD SATA 2 TB SEAGATE 32MB 5900," $ 119,00 "
11322,MOUSE LG XM-420 VERMELHO," $ 8,00 "
11323,PEN DRIVE 4GB KINGSTON AZUL DT101G2.," $ 10,00 "
11324,PEN DRIVE 16GB KINGSTON AMARILLO DTC10..," $ 33,00 "
11325,"LCD LG 23"" E2350V LED"," $ 244,00 "
11326,"LCD LG 24"" W2486L WIDE LED HDMI"," $ 314,00 "
11327,FONTE DR.HANK P4 230W REAL SLIM," $ 20,00 "
11328,VGA XFX PCI-E ATI HD5770 1GB 850M DDR5 HD-577A-ZNFA.," $ 201,00 "
11329,NB ACER 3810-4402 CS1.3/4/320/13/CAM," $ 583,00 "
11330,PEN DRIVE 8GB KINGSTON DT101G2 VERMELHO.," $ 18,00 "
11331,CAM. DR.HANK VC-V155 5.0M C/MIC USB2.0," $ 16,00 "
11332,VGA XFX PCI-E ATI HD5770 1G HD-577X-ZNFC 2.1B," $ 189,00 "
11333,NB SONY EB23FM/BI CI3-2.26/4G/320/15/RW.," $ 835,00 "
,,
QTD TOTAL,,